player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,primary_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6
7948,122719,92999,4536,7388,227642,1622987,1234664,58966,95155,3011772,0.5390876903207669,0.4085318175029213,0.019926024195886523,0.03245446798042541,0.07561305173732137,0.07532332683223938,0.07692568598853576,0.07764174242026167,2,2.3136873093974357e-35,0.001048516980316124,0.9989514827445619,0.0,0.0,2.751202289253799e-10,8.278568590471596e-26
19526,44384,34842,2177,2524,83927,961220,743275,42227,58373,1805095,0.5288405399930892,0.41514649635993184,0.025939209074552886,0.03007375457242604,0.04617465304508853,0.04687632437523124,0.0515546924953229,0.04323916879379165,0,0.9998988186876242,0.00010118107872587713,8.106537562820422e-47,0.0,9.379515253938622e-51,0.0,2.336486908542087e-10
27085,42999,33645,1856,2836,81336,628547,495979,28037,40947,1193510,0.5286588964296253,0.41365447034523456,0.02281892396970591,0.03486770925543425,0.06841015866753003,0.0678355333592753,0.06619823804258658,0.06926026326715022,6,3.383074446861238e-16,0.0007005791575098964,3.4804343580562255e-22,0.0,2.384953540484197e-47,4.292713342839707e-279,0.9992994208424911
27205,100377,72837,3795,5992,183001,1804542,1344532,66765,104879,3320718,0.5485051994251398,0.39801421850153823,0.020737591597860122,0.032742990475461885,0.05562464049049565,0.05417275304715693,0.05684115929004718,0.05713250507727953,2,4.838422174231113e-18,1.6824192015505752e-60,1.0,0.0,2.1256401297318247e-189,6.2473539478486545e-43,8.585610712859846e-33
28980,106270,84282,4968,5827,201347,1306202,1036607,62170,72187,2477166,0.5277952986635013,0.4185907910224637,0.024673821810108916,0.028940088503926056,0.08135801353848793,0.08130564427984761,0.07990992440083641,0.08072090542618476,1,1.124015463396016e-47,1.0,3.5297552832596743e-16,0.0,0.0,2.3412362319570612e-37,1.6623870922406834e-33
30483,58270,43452,2596,3971,108289,1254814,938168,51909,80146,2325037,0.538097128978936,0.4012595923870384,0.02397288736621448,0.03667039126781114,0.0464371612047682,0.04631579844974461,0.05001059546514092,0.04954707658523195,0,0.9999999831567267,1.1848893396118175e-11,1.6831424961658577e-08,0.0,2.280536477884731e-45,0.0,1.6200604030698853e-17
36559,100581,79518,4564,5625,190288,1220182,964678,55911,67908,2308679,0.5285724796098545,0.417882367779366,0.02398469688051795,0.0295604557302615,0.08243114551763589,0.08242957753778982,0.08162973296846775,0.08283265594628027,1,3.0841099207110765e-35,1.0,2.8444160005737813e-24,0.0,0.0,2.8834137245452262e-39,3.052445018758766e-26
38703,92082,69824,3713,5811,171430,1582203,1181241,62890,100114,2926448,0.537140523828968,0.4073032724727294,0.02165898617511521,0.033897217523187306,0.058198600306029,0.059110714917616304,0.059039592940054064,0.05804383003376151,2,1.978134992337497e-09,3.5757944143893145e-26,0.9999999980218632,0.0,2.3313002622656904e-177,6.265823680185295e-56,1.6529284405520853e-21
42335,61547,45972,2763,4128,114410,1246850,926409,48334,77220,2298813,0.537951228039507,0.40181802290009616,0.024149986889257933,0.03608076217113888,0.0493619922203954,0.049623870234421295,0.0571647287623619,0.05345765345765346,0,0.9999906984271852,3.079745287098459e-12,9.301569734599818e-06,0.0,1.5564603214333744e-60,0.0,1.1879754635059378e-26
43196,156200,117081,5690,9357,288328,2033606,1530542,75444,122358,3761950,0.5417441247468161,0.4060687827751727,0.01973446907688466,0.03245262340112649,0.07680937212026322,0.07649643067619183,0.07542017920576852,0.0764723189329672,5,2.4857528896487316e-109,6.243159986404613e-14,5.817797437117236e-12,0.0,0.0,0.9999999999941167,4.4580582789019886e-42
