player_id,role_name
333749,Left Center Back
334009,Right Winger
334761,Center Forward
360069,Attacking Midfield
623111,Left Winger
798138,Right Winger
811836,Left Back
815894,Right Winger
817615,Right Center Back
18032,Right Wing Back
31338,Center Forward
67230,Left Center Back
795536,Right Center Back
891524,Left Midfield
18493,Left Wing Back
45052,Center Forward
68832,Goalkeeper
88447,Right Back
333734,Right Midfield
333736,Left Winger
333742,Left Wing Back
627153,Right Center Back
627175,Center Back
629586,Left Midfield
686277,Right Center Back
818230,Right Winger
974667,Right Winger
1002354,Left Forward
1002437,Right Wing Back
1002441,Center Forward
51054,Center Forward
404209,Right Midfield
966476,Left Winger
1002431,Right Winger
67179,Right Midfield
67225,Left Center Back
332856,Right Winger
18067,Center Forward
334102,Right Center Back
34539,Left Midfield
59374,Left Wing Back
64754,Center Forward
333597,Goalkeeper
333679,Center Forward
333691,Center Forward
333725,Attacking Midfield
333737,Right Center Back
333774,Center Forward
333776,Right Center Back
333783,Right Wing Back
333875,Right Center Back
333956,Center Back
334760,Right Wing Back
458618,Left Midfield
616896,Center Forward
816836,Left Winger
819116,Right Midfield
1003636,Right Wing Back
189194,Left Center Back
606783,Right Back
629236,Left Winger
814338,Right Center Back
61313,Right Winger
641104,Left Winger
23846,Center Forward
334105,Right Center Back
606810,Left Back
810204,Center Forward
27185,Left Winger
31138,Left Midfield
31151,Right Wing Back
333564,Center Back
333631,Left Midfield
333682,Left Center Back
334121,Left Winger
334564,Goalkeeper
360075,Right Midfield
775323,Right Winger
813399,Center Forward
816485,Right Midfield
971810,Center Forward
1002274,Left Center Back
27197,Defensive Midfield
333592,Right Midfield
815872,Goalkeeper
966404,Right Winger
162450,Left Midfield
333217,Left Wing Back
334077,Goalkeeper
43193,Right Winger
166419,Left Winger
826290,Right Winger
333890,Goalkeeper
630810,Right Winger
333563,Left Winger
334333,Left Defensive Midfield
612269,Center Forward
18072,Left Midfield
334539,Left Center Back
404210,Goalkeeper
814592,Left Midfield
8594,Right Winger
36492,Defensive Midfield
285469,Left Wing Back
332822,Center Forward
333918,Center Forward
334116,Right Center Back
189200,Goalkeeper
333558,Right Center Back
1003669,Right Back
1003670,Right Winger
71568,Left Back
301533,Center Forward
975244,Left Defensive Midfield
975266,Left Winger
625256,Right Defensive Midfield
686270,Left Midfield
1003933,Right Back
332767,Left Winger
333905,Right Winger
334335,Center Forward
333849,Right Center Back
334090,Left Forward
1002361,Center Back
628580,Attacking Midfield
686466,Right Back
1002933,Right Defensive Midfield
1004254,Left Winger
43020,Right Midfield
43228,Right Back
339961,Center Forward
531856,Right Winger
43222,Left Center Back
60036,Right Center Back
129286,Right Back
333889,Right Center Back
153824,Center Back
333677,Right Wing Back
863525,Center Forward
24927,Right Midfield
1004653,Defensive Midfield
162856,Left Center Back
334795,Left Back
458557,Defensive Midfield
36589,Right Back
168191,Attacking Midfield
333723,Right Back
11436,Left Wing Back
20253,Center Forward
43210,Left Back
36545,Center Forward
818910,Left Wing Back
117215,Right Midfield
334130,Left Midfield
333935,Right Wing Back
627177,Left Wing Back
627121,Right Wing Back
167615,Left Wing Back
333711,Center Forward
813225,Center Forward
36581,Left Center Back
884477,Center Forward
50986,Center Forward
606812,Right Back
337488,Right Center Back
43274,Attacking Midfield
333194,Right Winger
627120,Goalkeeper
16401,Center Forward
816911,Right Back
609571,Center Forward
640346,Left Winger
819146,Goalkeeper
18077,Center Forward
966423,Right Wing Back
333634,Left Back
814500,Goalkeeper
629237,Left Back
1007564,Left Center Back
333076,Right Center Back
1005734,Right Wing Back
333780,Left Midfield
69967,Left Center Back
333841,Center Back
641414,Goalkeeper
759180,Left Forward
813480,Center Forward
910580,Left Winger
332832,Attacking Midfield
1002363,Attacking Midfield
775437,Goalkeeper
966339,Right Forward
333441,Goalkeeper
966553,Right Winger
333572,Right Wing Back
1008949,Right Midfield
333929,Left Defensive Midfield
66939,Goalkeeper
19747,Left Midfield
966427,Attacking Midfield
332768,Right Winger
814497,Goalkeeper
333854,Left Center Back
1006239,Right Winger
19836,Right Midfield
1012893,Center Forward
1012894,Right Back
332996,Goalkeeper
628875,Right Back
1006711,Center Forward
627151,Center Forward
1012895,Right Center Back
66942,Left Center Back
1002360,Goalkeeper
841289,Left Winger
333738,Right Wing Back
333773,Left Midfield
1014018,Center Forward
66918,Left Midfield
1016341,Right Defensive Midfield
127613,Right Winger
871119,Left Winger
36485,Left Winger
16339,Left Midfield
815963,Goalkeeper
912295,Right Wing Back
581395,Left Center Back
827226,Right Midfield
1002371,Goalkeeper
966477,Left Center Back
1002362,Goalkeeper
334162,Right Back
333274,Center Forward
1002279,Goalkeeper
817102,Right Center Back
864600,Goalkeeper
1003014,Left Defensive Midfield
32024,Left Midfield
333162,Goalkeeper
332828,Left Midfield
815977,Right Defensive Midfield
815822,Right Center Back
1014019,Left Midfield
1020920,Right Winger
813483,Center Forward
333750,Right Wing Back
814498,Right Midfield
36159,Center Forward
333845,Left Midfield
334087,Center Forward
56490,Center Forward
332925,Right Winger
815404,Left Forward
334227,Left Back
333673,Left Winger
818423,Center Forward
35575,Left Back
829843,Left Center Back
27120,Left Winger
1023424,Right Winger
334399,Attacking Midfield
17447,Center Forward
27769,Right Winger
27127,Attacking Midfield
606794,Goalkeeper
812097,Left Wing Back
815861,Right Wing Back
123125,Right Center Back
333704,Goalkeeper
27180,Center Forward
332825,Center Forward
818679,Right Back
727343,Right Wing Back
36487,Attacking Midfield
333112,Attacking Midfield
333408,Left Wing Back
332811,Left Wing Back
817036,Left Winger
815862,Left Center Back
332760,Left Center Back
19303,Left Center Back
818337,Left Defensive Midfield
1017879,Right Back
1027385,Right Winger
581397,Right Midfield
1002428,Goalkeeper
1022356,Right Wing Back
1024395,Right Winger
34520,Left Midfield
334068,Center Forward
67062,Left Midfield
332790,Right Center Back
1002422,Right Center Back
334684,Right Back
1002756,Goalkeeper
1028244,Left Center Back
39649,Right Midfield
333717,Right Center Back
611888,Left Center Back
332793,Left Back
334671,Goalkeeper
813478,Left Center Back
1002750,Right Center Back
1020780,Left Winger
752744,Right Midfield
814594,Goalkeeper
25462,Attacking Midfield
818944,Goalkeeper
1002439,Defensive Midfield
23861,Goalkeeper
815826,Center Forward
985156,Right Center Back
1002434,Goalkeeper
927726,Left Winger
1004643,Right Defensive Midfield
27213,Left Back
1024296,Goalkeeper
629576,Goalkeeper
