player_id,primary_cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
7948,7,0.0,5.747145938670358e-64,0.0,2.0623976167731026e-07,0.0,5.5499565454567674e-297,0.0,0.9999997937602387,0.0,0.0
19526,8,0.0,4.2290929249071605e-110,5.355273049863311e-82,1.3534438467040087e-165,8.950690165612296e-247,1.7162910094250297e-18,3.340816714456491e-279,1.3939021176977907e-280,1.0,1.1169781812915913e-209
27085,6,0.0,0.0,3.697048578545044e-47,0.0,1.386275693593298e-82,0.0,1.0,0.0,4.616160450936248e-142,3.6840395456079896e-25
27205,3,0.0,2.2095105257537096e-189,0.0,1.0,0.0,0.0,0.0,2.965342442948812e-62,0.0,0.0
28980,6,0.0,0.0,1.097818006919426e-49,0.0,1.9582275975085373e-80,0.0,1.0,0.0,6.0829464097271355e-146,1.860872450338979e-23
30483,1,0.0,1.0,0.0,5.961881169041094e-53,0.0,5.204514763103368e-69,0.0,2.2741555921458725e-30,7.691082734458344e-219,0.0
36559,1,0.0,1.0,0.0,2.0167007064189117e-65,0.0,1.4159815507096086e-37,0.0,4.9441911519124315e-52,7.368734770143236e-162,0.0
38703,9,7.182228522128606e-302,0.0,2.8982203411739506e-119,0.0,3.107613058167628e-46,0.0,8.206504965475073e-22,0.0,8.676374188491159e-238,1.0
42335,1,0.0,1.0,0.0,1.0160919373083844e-49,0.0,5.661118422789505e-76,0.0,8.586028740063664e-26,9.539496236842905e-232,0.0
43196,6,0.0,0.0,2.1905570290117057e-37,0.0,2.269678169777486e-89,1.924e-320,1.0,0.0,1.6389077578127052e-125,1.407908090419577e-30
44186,8,0.0,7.312463134190736e-137,1.654836299755969e-61,6.958211226941443e-183,2.1322166309717714e-231,5.928693009803172e-35,8.811837719800001e-233,3.39e-321,1.0,2.4159278487451884e-188
89658,8,0.0,2.446979400613237e-135,9.888454748637001e-63,2.838772041361257e-182,3.83567054873818e-232,7.2462582986183645e-34,2.6901339283455286e-235,9.08656e-319,1.0,2.861187789918674e-189
127615,6,0.0,0.0,8.998949054740912e-28,0.0,2.3089206880089558e-93,1.7815663147208245e-299,1.0,0.0,6.905901418349181e-112,1.508230444367018e-33
333032,8,0.0,3.362926741370471e-135,1.0984379055006776e-62,5.769130800229456e-182,1.7806856831463605e-232,7.061813997817444e-34,1.485470013121993e-235,1.24213e-318,1.0,9.684984580280057e-190
333595,0,1.0,0.0,0.0,0.0,2.0549573976094724e-41,0.0,0.0,0.0,0.0,6.982489471427779e-285
333614,7,0.0,8.244433745216707e-40,0.0,1.3376647010658939e-20,0.0,4.750924638788071e-225,0.0,1.0,0.0,0.0
333615,9,1.2723806171052605e-156,0.0,0.0,0.0,0.00794600010113737,0.0,4.778213624635803e-192,0.0,0.0,0.9920539998988681
333616,0,1.0,0.0,0.0,0.0,1.7661189707430483e-53,0.0,0.0,0.0,0.0,0.0
333619,6,0.0,0.0,2.741067217407927e-22,0.0,9.046491480183083e-96,3.4221643351670376e-286,1.0,0.0,5.338015256581606e-103,2.1962742478325677e-35
333625,8,0.0,3.223851675684452e-113,4.327480900422909e-79,1.82628906196005e-167,2.419139322649481e-245,1.9861091896250682e-20,3.753106725471465e-273,2.463317127998551e-285,1.0,1.1187972004387867e-207
333730,1,0.0,0.9999999960581292,0.0,2.776405744945143e-73,0.0,3.941871306786684e-09,0.0,1.5685461609121563e-73,2.9301195863962706e-107,0.0
333921,5,0.0,5.637552535030882e-50,5.303236307691978e-202,4.011703143045821e-124,2.465e-321,1.0,0.0,2.3806882173612477e-173,1.6262714827129264e-38,2.1692762691062e-310
334202,2,0.0,0.0,1.0,8.377022650687671e-291,1.463945444240043e-127,5.3364242786617606e-192,2.0223295750502937e-27,0.0,8.946938794205728e-51,1.300555487027984e-65
441826,5,0.0,8.779156744047089e-59,2.961983528674918e-173,1.0977371126157306e-130,7.656905056883779e-306,1.0,0.0,3.517091307597784e-191,6.653227199698387e-28,1.5697662718944528e-289
630816,2,0.0,0.0,1.0,1.7192440052107403e-297,2.5951733571056256e-119,2.16575579868168e-205,7.917065620019016e-18,0.0,3.6132892965960325e-57,2.7056847145188744e-57
643529,9,2.1459466499129786e-300,0.0,1.4176497357784056e-122,0.0,7.045012349372771e-46,0.0,6.122685458723589e-23,0.0,2.643735860538136e-240,1.0
