player_id,passes,carries,goal_threat,receptions,total_actions,team_passes,team_carries,team_goal_threat,team_receptions,team_total_actions,pass_tendency,carry_tendency,goal_threat_tendency,reception_tendency,pass_influence,carry_influence,goal_threat_influence,reception_influence,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
629237,26134,20147,1059,1324,48664,544567,435512,20947,31768,1032794,0.5370294262699326,0.41400213710340295,0.021761466381719545,0.02720697024494493,0.04799042174792083,0.046260493396278406,0.05055616556070082,0.041677159405691264,-93.51249,-94.03431,89.663376,88.42543,94.04134,-94.99495,-92.33633,85.563545,-91.261086,91.7682,-93.627235,-87.79309,-91.397095,-91.571915,-92.51394,-81.178406,-91.180695,87.47752,89.40266,83.16811,91.28384,-93.874626,-89.27392,80.578705,88.73426,93.514725,87.52334,93.69942,93.80744,-85.20991,94.76632,-90.68478
1007564,145824,97842,5385,7833,256884,1638318,1097602,59851,88253,2884024,0.5676647825477648,0.3808800859531929,0.0209627691876489,0.03049236231139347,0.08900836101416208,0.08914160141836476,0.0899734340278358,0.08875618959128868,-100.485695,-100.59655,96.765785,94.844635,100.86218,-101.73228,-98.49619,92.24739,-98.1975,98.04592,-100.6359,-93.973526,-98.144936,-98.371315,-99.116516,-87.03408,-97.33067,93.94265,96.39308,89.21549,97.67037,-100.49622,-95.459694,86.35261,95.32245,100.12281,93.97893,100.113,100.07943,-91.397934,101.45646,-97.425674
333076,36512,27701,1625,1855,67693,641388,492338,28556,32131,1194413,0.5393763018332767,0.4092151330270486,0.02400543630803776,0.02740312883163695,0.056926540565149335,0.0562641924856501,0.056905729093710604,0.057732407954934485,-89.15868,-90.705284,86.39208,84.741486,89.55484,-91.22849,-87.7973,82.122604,-87.808075,87.39921,-89.93032,-84.66308,-87.73685,-88.169266,-89.391045,-78.0655,-87.656105,83.85487,86.08005,80.58336,87.38685,-89.49142,-85.49804,76.89741,85.079636,89.337234,84.53901,90.08678,90.26087,-81.68826,90.66544,-87.74268
1005734,6904,5536,260,293,12993,300454,233563,12309,13288,559614,0.531363041637805,0.42607557915800814,0.02001077503270992,0.02255060417147695,0.022978559113874336,0.023702384367386958,0.02112275570720611,0.022049969897652018,-78.50062,-78.87912,75.03974,73.80849,78.360985,-79.05009,-77.25037,71.768524,-75.86917,76.56743,-78.836464,-74.194664,-76.411446,-76.595184,-77.74422,-68.1002,-76.05238,73.496155,74.68955,68.939865,76.64122,-78.53408,-74.96872,67.65763,74.22057,78.032616,73.26376,78.78777,77.976585,-71.82496,79.56114,-75.96744
333780,24899,18543,1004,1210,45656,382437,277651,14344,22099,696531,0.5453609602242859,0.406145961100403,0.02199053793586823,0.02650254073944279,0.06510614820218755,0.0667852808021581,0.06999442275515895,0.0547536087605774,-95.69486,-96.25457,92.217155,90.535675,95.96274,-97.13274,-93.704185,87.86242,-93.66512,93.35357,-95.872475,-89.948654,-93.489815,-93.94817,-95.002266,-83.14828,-93.07064,89.36487,91.764755,85.42217,93.14722,-95.84061,-91.27306,82.22445,90.94881,95.4082,89.79286,95.819305,95.89389,-87.136536,96.79287,-93.34442
69967,93594,68031,3212,4551,169388,1652145,1206685,58012,83338,3000180,0.5525420927102274,0.4016282145134248,0.018962382223061847,0.026867310553285947,0.05664999137484906,0.05637842518967253,0.055367854926566915,0.054608941899253645,-97.82923,-98.73661,94.67488,92.700836,98.22733,-99.56089,-96.0243,90.06952,-96.0862,95.687546,-98.38597,-92.15103,-96.0452,-96.35276,-97.34721,-85.27478,-95.53327,91.68664,94.35877,87.59844,95.58321,-97.991875,-93.43807,84.20105,93.10812,97.9485,92.26933,98.04009,98.293335,-89.40945,99.18762,-95.51378
333841,93498,71847,3356,6461,175162,1103015,848341,39763,74263,2065382,0.5337801577967825,0.41017458124479056,0.019159406720635753,0.0368858542377913,0.08476584633935169,0.08469117960820001,0.08440007041722204,0.08700160241304553,-87.5917,-88.85395,85.23151,83.317085,88.24739,-89.44836,-86.27643,81.03876,-86.41559,85.60443,-88.24151,-82.6518,-86.45638,-86.565315,-87.36463,-76.59083,-85.8527,82.37814,84.75769,79.180695,85.65629,-87.86729,-83.77278,75.62441,83.63506,87.937965,83.03072,88.027725,88.43032,-80.35281,89.03901,-85.95115
641414,38513,29722,1890,2117,72242,462385,354596,22187,25718,864886,0.5331109326984302,0.4114227180864317,0.026162066387973755,0.029304282827164255,0.08329206180996356,0.0838193324233776,0.08518501825393249,0.08231588770510927,-59.87193,-60.97842,58.3178,57.144608,60.673557,-61.42685,-59.603786,55.215164,-59.21863,58.81061,-60.798473,-57.265644,-59.974937,-59.6785,-59.968037,-52.892006,-59.37265,56.82929,58.37998,54.604973,58.9797,-60.493168,-57.426933,52.249374,57.151306,60.716145,57.211475,60.445778,61.056522,-55.66651,61.279068,-58.669865
759180,1411,991,66,176,2644,136587,106084,5379,10978,259028,0.533661119515885,0.3748108925869894,0.024962178517397883,0.06656580937972768,0.010330412118283585,0.009341653783793974,0.012269938650306749,0.01603206412825651,-63.553253,-63.933792,61.415787,60.027332,63.883327,-64.14336,-62.44445,58.61721,-62.078506,61.905994,-63.9604,-60.013504,-62.36339,-62.485264,-62.963024,-55.357388,-61.714737,59.641006,61.232437,56.57747,62.165474,-63.49668,-60.6158,54.91311,60.33534,63.453014,59.823883,63.460487,63.186565,-58.495758,64.40821,-61.902443
813480,24901,17313,1234,1745,45193,1191938,853820,57321,78430,2181509,0.5509924103290332,0.3830903015953798,0.027305113623791295,0.038612174451795635,0.02089118729329881,0.020277107587079245,0.021527886812860907,0.0222491393599388,-76.60366,-77.61476,74.32496,72.82463,77.28447,-78.06157,-75.670006,70.73516,-75.34897,75.015755,-77.319016,-72.51411,-75.690475,-75.72448,-76.29555,-67.101555,-74.98488,72.09582,74.194336,69.10904,75.12282,-76.87752,-73.296364,66.382195,72.94453,76.892715,72.51136,76.972206,77.18313,-70.56267,77.84744,-75.043816
